player_0_name,player_1_name,player_0_team,player_1_team,player_0_selected,player_1_selected,player_0_first,player_1_first,winner_name
しゅん,つゆだく,"['ディンルー', 'オオニューラ', 'ギラティナ(オリジン)', 'ヒードラン', 'ハバタクカミ', 'テツノカイナ']","['ディンルー', 'オーガポン(かまど)', 'ウーラオス(れんげき)', 'カイリュー', 'ルナアーラ', 'ガラルマタドガス']","['ハバタクカミ', 'テツノカイナ', 'オオニューラ']","['ルナアーラ', 'ウーラオス(れんげき)']",ハバタクカミ,ウーラオス(れんげき),つゆだく
あらたま,木星,"['ディンルー', 'ピクシー', 'パオジアン', 'ルギア', 'ヘイラッシャ', 'ハピナス']","['ディンルー', 'パオジアン', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'カイリュー', 'ハバタクカミ']","['ディンルー', 'ルギア', 'ハピナス']","['ハバタクカミ', 'バドレックス(こくば)', 'ウーラオス(れんげき)']",ルギア,バドレックス(こくば),あらたま
ギルガルド,くろっきー,"['ディンルー', 'オーガポン(かまど)', 'ウーラオス(れんげき)', 'カイリュー', 'ザシアン(けんのおう)', 'ハバタクカミ']","['オーガポン(かまど)', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'ブリジュラス', 'ハバタクカミ', 'オーロンゲ']","['ハバタクカミ', 'オーガポン(かまど)', 'ディンルー']",['バドレックス(こくば)'],オーガポン(かまど),バドレックス(こくば),くろっきー
Violet,マゼンタ,"['キラフロル', 'ディンルー', 'チオンジェン', 'バドレックス(こくば)', 'カイリュー', 'ハバタクカミ']","['ザマゼンタ(たてのおう)', 'ガチグマ(アカツキ)', 'カイリュー', 'ママンボウ', 'テツノブジン', 'トドロクツキ']","['ハバタクカミ', 'バドレックス(こくば)', 'チオンジェン']","['ザマゼンタ(たてのおう)', 'ママンボウ', 'トドロクツキ']",ハバタクカミ,ママンボウ,Violet
はなみずき,まぐね,"['ザマゼンタ(たてのおう)', 'ガチグマ(アカツキ)', 'カイリュー', 'ママンボウ', 'テツノブジン', 'トドロクツキ']","['ランドロス(けしん)', 'アシレーヌ', 'ガチグマ(アカツキ)', 'パオジアン', 'カイリュー', 'ザシアン(けんのおう)']","['ザマゼンタ(たてのおう)', 'ママンボウ', 'カイリュー']","['パオジアン', 'アシレーヌ']",ママンボウ,パオジアン,まぐね
ななみ,あまとぅー。,"['ザマゼンタ(たてのおう)', 'ラティオス', 'ランドロス(けしん)', 'サーフゴー', 'マスカーニャ', 'エンテイ']","['アシレーヌ', 'ヒスイハリーセン', 'カイリュー', 'ルナアーラ', 'ハバタクカミ', 'ガブリアス']","['ザマゼンタ(たてのおう)', 'ラティオス', 'ランドロス(けしん)']","['カイリュー', 'ヒスイハリーセン', 'ハバタクカミ']",ランドロス(けしん),カイリュー,ななみ
タカヒロ,德・健・财,"['カバルドン', 'キノガッサ', 'テツノツツミ', 'ハッサム', 'レックウザ', 'ガチグマ']","['キラフロル', 'カイリュー', 'ママンボウ', 'ミミッキュ', 'テラパゴス(テラスタル)', 'ガチグマ']","['レックウザ', 'テツノツツミ']","['カイリュー', 'キラフロル', 'ママンボウ']",レックウザ,カイリュー,タカヒロ
Phantasmoon,atコ,"['ガチグマ(アカツキ)', 'パオジアン', 'コライドン', 'ヘイラッシャ', 'ドオー', 'ハバタクカミ']","['タケルライコ', 'バドレックス(はくば)', 'ウーラオス(れんげき)', 'ミミッキュ', 'ドオー', 'イーユイ']","['ガチグマ(アカツキ)', 'コライドン', 'ヘイラッシャ']","['イーユイ', 'ウーラオス(れんげき)', 'ドオー']",ガチグマ(アカツキ),ウーラオス(れんげき),atコ
スカーレット,やすひら,"['パオジアン', 'ラグラージ', 'コライドン', 'キョジオーン', 'ハバタクカミ', 'ガチグマ']","['ランドロス(れいじゅう)', 'コライドン', 'テツノツツミ', 'ブリジュラス', 'ハバタクカミ', 'オーロンゲ']","['ハバタクカミ', 'ラグラージ', 'ガチグマ']","['ハバタクカミ', 'ランドロス(れいじゅう)', 'コライドン']",ガチグマ,コライドン,スカーレット
テリオン,青き此方,"['ディンルー', 'イイネイヌ', 'フワライド', 'ミライドン', 'アーマーガア', 'ドヒドイデ']","['ディンルー', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'キョジオーン', 'ミライドン', 'オーロンゲ']","['フワライド', 'アーマーガア', 'ドヒドイデ']","['ミライドン', 'オーロンゲ', 'キョジオーン']",アーマーガア,オーロンゲ,青き此方
ユウナギ,あまとぅー。,"['オーガポン(かまど)', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'ミミッキュ', 'キョジオーン', 'ミライドン']","['アシレーヌ', 'ヒスイハリーセン', 'カイリュー', 'ルナアーラ', 'ハバタクカミ', 'ガブリアス']","['オーガポン(かまど)', 'ミミッキュ', 'ウーラオス(れんげき)']","['ガブリアス', 'ヒスイハリーセン']",ウーラオス(れんげき),ガブリアス,あまとぅー。
わたあめ,じごくもん,"['バドレックス(はくば)', 'ウーラオス(れんげき)', 'エルフーン', 'ドオー', 'イーユイ', 'ガチグマ']","['カイオーガ', 'パオジアン', 'ウーラオス(れんげき)', 'カイリュー', 'キョジオーン', 'ハバタクカミ']","['ガチグマ', 'バドレックス(はくば)', 'ドオー']","['カイリュー', 'カイオーガ', 'ウーラオス(れんげき)']",バドレックス(はくば),ウーラオス(れんげき),じごくもん
PH,しゅばばばば,"['キラフロル', 'ディンルー', 'オーガポン(かまど)', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'カイリュー']","['アローラキュウコン', 'ガチグマ(アカツキ)', 'ホウオウ', 'ウーラオス(れんげき)', 'ドラパルト', 'ハバタクカミ']","['カイリュー', 'キラフロル', 'ウーラオス(れんげき)']","['ガチグマ(アカツキ)', 'ドラパルト', 'アローラキュウコン']",カイリュー,ガチグマ(アカツキ),PH
たくや,タカヒロ,"['ディンルー', 'オオニューラ', 'コライドン', 'カイリュー', 'サーフゴー', 'ハバタクカミ']","['カバルドン', 'キノガッサ', 'テツノツツミ', 'ハッサム', 'レックウザ', 'ガチグマ']","['ハバタクカミ', 'ディンルー', 'コライドン']","['ハッサム', 'キノガッサ', 'テツノツツミ']",コライドン,ハッサム,タカヒロ
アイギス,ダイオキシン,"['ザマゼンタ(たてのおう)', 'ディンルー', 'カイリュー', 'キョジオーン', 'ハバタクカミ', 'ガチグマ']","['キラフロル', 'アシレーヌ', 'マスカーニャ', 'キョジオーン', 'ハバタクカミ', 'ネクロズマ(たそがれ)']","['カイリュー', 'ザマゼンタ(たてのおう)', 'ハバタクカミ']","['キラフロル', 'ネクロズマ(たそがれ)']",カイリュー,ネクロズマ(たそがれ),ダイオキシン
U,ダイオキシン,"['ゴリランダー', 'オオニューラ', 'キノガッサ', 'バドレックス(こくば)', 'テツノワダチ', 'カイリュー']","['キラフロル', 'アシレーヌ', 'マスカーニャ', 'キョジオーン', 'ハバタクカミ', 'ネクロズマ(たそがれ)']","['オオニューラ', 'ゴリランダー', 'キノガッサ']","['キラフロル', 'マスカーニャ', 'アシレーヌ']",キノガッサ,アシレーヌ,ダイオキシン
NONO,PH,"['ラティアス', 'ウーラオス(いちげき)', 'ハッサム', 'ミミッキュ', 'マシマシラ', 'テラパゴス(テラスタル)']","['キラフロル', 'ディンルー', 'オーガポン(かまど)', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'カイリュー']","['テラパゴス(テラスタル)', 'ハッサム', 'ラティアス']","['カイリュー', 'バドレックス(こくば)', 'ディンルー']",ハッサム,カイリュー,NONO
ゆ,AQ,"['チオンジェン', 'パオジアン', 'ムゲンダイナ', 'ランドロス(れいじゅう)', 'ハッサム', 'ハバタクカミ']","['ゴリランダー', 'パオジアン', 'カイオーガ', 'ウーラオス(れんげき)', 'テツノワダチ', 'ハバタクカミ']","['パオジアン', 'ハッサム']","['カイオーガ', 'ゴリランダー', 'テツノワダチ']",パオジアン,カイオーガ,ゆ
ショウガ,かな,"['ディンルー', 'パオジアン', 'ムゲンダイナ', 'イッカネズミ', 'ハバタクカミ', 'ポットデス']","['ガチグマ(アカツキ)', 'イーユイ', 'コライドン', 'ドリュウズ', 'ハバタクカミ', 'バンギラス']","['パオジアン', 'ポットデス']","['ハバタクカミ', 'ドリュウズ', 'コライドン']",ポットデス,ハバタクカミ,ショウガ
AQ,sh,"['ゴリランダー', 'パオジアン', 'カイオーガ', 'ウーラオス(れんげき)', 'テツノワダチ', 'ハバタクカミ']","['オーガポン(かまど)', 'テツノワダチ', 'カイリュー', 'ヘイラッシャ', 'ミライドン', 'オーロンゲ']","['ハバタクカミ', 'パオジアン', 'テツノワダチ']","['カイリュー', 'オーガポン(かまど)', 'ミライドン']",パオジアン,カイリュー,sh
スコール,れんぴょろ,"['ゲッコウガ', 'カイオーガ', 'テツノツツミ', 'ラプラス', 'ヘイラッシャ', 'ドヒドイデ']","['ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'ギラティナ(オリジン)', 'ハッサム', 'ハバタクカミ', 'バンギラス']","['テツノツツミ', 'ドヒドイデ', 'ヘイラッシャ']","['ハバタクカミ', 'ランドロス(れいじゅう)', 'ギラティナ(オリジン)']",ドヒドイデ,ギラティナ(オリジン),れんぴょろ
あいくま,青き此方,"['オーガポン(かまど)', 'バドレックス(こくば)', 'ラグラージ', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'カイリュー']","['ディンルー', 'ランドロス(れいじゅう)', 'ウーラオス(れんげき)', 'キョジオーン', 'ミライドン', 'オーロンゲ']",['オーガポン(かまど)'],"['ミライドン', 'ランドロス(れいじゅう)', 'ディンルー']",オーガポン(かまど),ランドロス(れいじゅう),あいくま
カジ,しゅん,"['カビゴン', 'ウーラオス(いちげき)', 'カイリュー', 'ミュウツー', 'ウインディ', 'テツノカイナ']","['ディンルー', 'オオニューラ', 'ギラティナ(オリジン)', 'ヒードラン', 'ハバタクカミ', 'テツノカイナ']","['ウーラオス(いちげき)', 'ウインディ', 'カビゴン']",['ヒードラン'],ウインディ,ヒードラン,しゅん
俺出現神呆然,しゅばばばば,"['ガチグマ(アカツキ)', 'イーユイ', 'コライドン', 'ハッサム', 'ヘイラッシャ', 'ハバタクカミ']","['アローラキュウコン', 'ガチグマ(アカツキ)', 'ホウオウ', 'ウーラオス(れんげき)', 'ドラパルト', 'ハバタクカミ']","['ハバタクカミ', 'イーユイ', 'ヘイラッシャ']","['ガチグマ(アカツキ)', 'ウーラオス(れんげき)', 'アローラキュウコン']",ハバタクカミ,ガチグマ(アカツキ),俺出現神呆然
なつめ,スカーレット,"['ガチグマ(アカツキ)', 'パオジアン', 'カイリュー', 'ブリジュラス', 'ザシアン(けんのおう)', 'ハバタクカミ']","['キラフロル', 'ディンルー', 'パオジアン', 'ヘイラッシャ', 'ハバタクカミ', 'ミライドン']","['カイリュー', 'パオジアン']","['ミライドン', 'ディンルー', 'ヘイラッシャ']",カイリュー,ヘイラッシャ,なつめ
マブシ,運だけの春日(CHT),"['ディンルー', 'カイオーガ', 'パオジアン', 'キョジオーン', 'ドオー', 'ドヒドイデ']","['パオジアン', 'バドレックス(こくば)', 'ラグラージ', 'ウーラオス(れんげき)', 'カイリュー', 'ハバタクカミ']","['ドヒドイデ', 'キョジオーン', 'ドオー']","['ハバタクカミ', 'バドレックス(こくば)', 'ウーラオス(れんげき)']",ドオー,ハバタクカミ,運だけの春日(CHT)
サトシ,Phantasmoon,"['アローラベトベトン', 'ディンルー', 'オーガポン(かまど)', 'バドレックス(こくば)', 'ヤミラミ', 'ママンボウ']","['ガチグマ(アカツキ)', 'パオジアン', 'コライドン', 'ヘイラッシャ', 'ドオー', 'ハバタクカミ']","['ママンボウ', 'ディンルー', 'バドレックス(こくば)']","['ヘイラッシャ', 'ハバタクカミ', 'ドオー']",ママンボウ,ドオー,Phantasmoon
